Posicion,Club,Partidos_jugados,Ganados,Empatados,Perdidos,Goles_favor,Goles_en_contra,Puntos,Diferencia_gol,norm_perdidos,norm_diff_gol,norm_goles_contra,norm_ganados,indice_riesgo,zona_riesgo
16,Envigado FC,20,4,8,8,18,22,20,-4,0.5555555555555556,0.6285714285714286,0.2631578947368421,0.8888888888888888,0.552,🟠 Alerta
10,Águilas Doradas,20,7,6,7,29,27,27,2,0.4444444444444444,0.45714285714285713,0.5263157894736842,0.5555555555555556,0.476,🟡 Moderado
1,Independiente Medellín,20,12,4,4,46,28,40,18,0.1111111111111111,0.0,0.5789473684210527,0.0,0.16,🟢 Estable
9,Alianza FC,20,8,5,7,24,22,29,2,0.4444444444444444,0.45714285714285713,0.2631578947368421,0.4444444444444444,0.412,🟡 Moderado
18,Deportivo Pereira,20,4,6,10,19,36,18,-17,0.7777777777777778,1.0,1.0,0.8888888888888888,0.9,🔴 Crítico
13,Llaneros FC,20,7,4,9,17,25,25,-8,0.6666666666666666,0.7428571428571429,0.42105263157894735,0.5555555555555556,0.629,🟠 Alerta
2,Deportes Tolima,20,12,2,6,29,17,38,12,0.3333333333333333,0.17142857142857143,0.0,0.0,0.185,🟢 Estable
14,Deportivo Cali,20,5,6,9,22,28,21,-6,0.6666666666666666,0.6857142857142857,0.5789473684210527,0.7777777777777778,0.666,🟠 Alerta
6,Fortaleza CEIF,20,9,8,3,25,19,35,6,0.0,0.34285714285714286,0.10526315789473684,0.3333333333333333,0.157,🟢 Estable
3,Atlético Nacional,20,10,7,3,23,24,37,14,0.0,0.11428571428571428,0.3684210526315789,0.2222222222222222,0.13,🟢 Estable
12,Millonarios FC,20,7,5,8,23,26,26,-3,0.5555555555555556,0.6,0.47368421052631576,0.5555555555555556,0.553,🟠 Alerta
4,Atlético Bucaramanga,20,11,4,5,31,20,37,11,0.2222222222222222,0.2,0.15789473684210525,0.1111111111111111,0.192,🟢 Estable
5,Junior de Barranquilla,20,10,5,5,35,25,35,10,0.2222222222222222,0.22857142857142856,0.42105263157894735,0.2222222222222222,0.264,🟡 Moderado
19,Boyacá Chicó FC,20,3,7,10,14,29,16,-15,0.7777777777777778,0.9428571428571428,0.631578947368421,1.0,0.82,🔴 Crítico
17,Asociación Deportivo Pasto,20,4,7,9,26,28,19,2,0.6666666666666666,0.45714285714285713,0.5789473684210527,0.8888888888888888,0.608,🟠 Alerta
8,CD América de Cali,20,8,5,7,23,19,27,4,0.4444444444444444,0.4,0.10526315789473684,0.4444444444444444,0.363,🟡 Moderado
11,Once Caldas,20,7,6,7,21,24,27,-3,0.4444444444444444,0.6,0.3684210526315789,0.5555555555555556,0.487,🟡 Moderado
15,Unión Magdalena,20,6,3,11,22,32,21,-10,0.8888888888888888,0.8,0.7894736842105263,0.6666666666666666,0.82,🔴 Crítico
20,Internacional de Bogotá,20,3,5,12,14,29,14,-15,1.0,0.9428571428571428,0.631578947368421,1.0,0.909,🔴 Crítico
7,Independiente Santa Fe,20,8,7,5,21,17,31,4,0.2222222222222222,0.4,0.0,0.4444444444444444,0.253,🟡 Moderado
